root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,l_hip_pitch,l_hip_roll,l_thigh,l_calf,l_ankle_pitch,l_ankle_roll,r_hip_pitch,r_hip_roll,r_thigh,r_calf,r_ankle_pitch,r_ankle_roll,l_shoulder_pitch,l_shoulder_roll,l_upper_arm,l_elbow,l_wrist,r_shoulder_pitch,r_shoulder_roll,r_upper_arm,r_elbow,r_wrist
-0.039804,0.0242,0.376658,-0.09696,0.006181,0.692337,0.715003,-0.279751,0.089521,-0.032582,0.249412,-0.333845,0.059815,-1.100385,-0.028622,-0.02687,0.64807,-0.129489,0.113724,0.027611,0.603321,-0.476379,-0.713481,0.071901,0.051375,-0.435883,0.37804,-0.878892,-0.130278
-0.036876,0.026606,0.375293,-0.091474,0.006865,0.695148,0.71299,-0.263702,0.088627,-0.030505,0.251656,-0.369001,0.05769,-1.099977,-0.035397,-0.021708,0.559613,-0.112965,0.119033,0.020478,0.607578,-0.484263,-0.722528,0.070666,0.052016,-0.434865,0.367389,-0.875364,-0.129174
-0.032777,0.03058,0.373623,-0.082049,0.008273,0.700197,0.709172,-0.239781,0.084159,-0.030001,0.258728,-0.395039,0.054173,-1.08056,-0.045116,-0.016477,0.478407,-0.09097,0.126839,0.012124,0.605728,-0.494937,-0.730027,0.07226,0.05781,-0.434832,0.361821,-0.868429,-0.127098
-0.027958,0.03751,0.372128,-0.071428,0.01157,0.708505,0.701986,-0.211497,0.07916,-0.030412,0.270957,-0.413841,0.045377,-1.04404,-0.059977,-0.009541,0.410837,-0.061618,0.136279,0.00205,0.601078,-0.501092,-0.735748,0.068792,0.069708,-0.436796,0.351952,-0.863672,-0.125216
-0.021228,0.048947,0.37064,-0.06108,0.018411,0.717582,0.693546,-0.1803,0.075522,-0.041193,0.28544,-0.424339,0.030212,-1.011058,-0.07249,0.01285,0.376504,-0.023908,0.147124,-0.006629,0.597933,-0.514909,-0.741974,0.059564,0.078888,-0.439696,0.346133,-0.858391,-0.122871
-0.013437,0.062655,0.368766,-0.046095,0.027846,0.729567,0.681785,-0.15175,0.063371,-0.05449,0.318542,-0.462865,0.006353,-0.951008,-0.093125,0.026183,0.337805,0.0169,0.145968,-0.01757,0.58927,-0.533151,-0.751233,0.04671,0.093739,-0.447362,0.345054,-0.849211,-0.11319
-0.007489,0.081502,0.367375,-0.037813,0.039513,0.738613,0.671908,-0.128793,0.052583,-0.068398,0.355218,-0.441792,-0.013048,-0.920456,-0.102933,0.061171,0.355538,0.05395,0.143458,-0.027409,0.578884,-0.562515,-0.756802,0.032502,0.099009,-0.452319,0.353,-0.832112,-0.106269
-0.00023,0.106425,0.36608,-0.03613,0.06086,0.743266,0.665242,-0.120234,0.044262,-0.08981,0.400215,-0.3712,-0.050413,-0.921027,-0.095738,0.096584,0.433293,0.054855,0.130978,-0.046807,0.568095,-0.597081,-0.758029,0.001962,0.084794,-0.463038,0.381992,-0.806447,-0.072387
0.004518,0.122684,0.368058,-0.038176,0.080866,0.741271,0.665222,-0.126453,0.04239,-0.093349,0.444622,-0.310769,-0.098345,-0.928948,-0.083162,0.116341,0.49319,0.033278,0.103947,-0.045164,0.56328,-0.641339,-0.777085,-0.001231,0.07658,-0.472396,0.396868,-0.797312,-0.058481
0.008434,0.1382,0.370875,-0.043628,0.09699,0.739589,0.664604,-0.155625,0.047908,-0.070716,0.513766,-0.207295,-0.142985,-0.930045,-0.07651,0.130481,0.534671,-0.001826,0.073524,-0.045018,0.559271,-0.683568,-0.797382,-0.002186,0.068511,-0.486227,0.417836,-0.790177,-0.031237
