root pos x,root pos y,root pos z,root rot w,root rot x,root rot y,root rot z,l_hip_pitch,l_hip_roll,l_thigh,l_calf,l_ankle_pitch,l_ankle_roll,r_hip_pitch,r_hip_roll,r_thigh,r_calf,r_ankle_pitch,r_ankle_roll,l_shoulder_pitch,l_shoulder_roll,l_upper_arm,l_elbow,l_wrist,r_shoulder_pitch,r_shoulder_roll,r_upper_arm,r_elbow,r_wrist
0.0,0.0,0.370956,0.028429,0.051979,0.001202,0.998243,-0.497794,0.113943,0.090088,0.41387,-0.118476,-0.053229,-0.19569,-0.09438,0.034683,0.766667,-0.258467,0.077653,-0.60729,0.108847,-0.503651,-1.232257,0.168418,-0.308841,0.027311,0.421123,-0.973365,-0.774317
0.0,0.0,0.370744,0.029923,0.054711,0.001082,0.998053,-0.497794,0.113943,0.090088,0.41387,-0.118476,-0.053229,-0.214828,-0.113256,0.04162,0.883333,-0.270161,0.093184,-0.637654,0.114289,-0.528834,-1.29387,0.176838,-0.324283,0.028676,0.442179,-1.022033,-0.813032
0.0,0.0,0.370531,0.031417,0.057443,0.000961,0.997854,-0.497794,0.113943,0.090088,0.41387,-0.118476,-0.053229,-0.233966,-0.132132,0.048556,1.0,-0.281854,0.108715,-0.668019,0.119731,-0.554017,-1.355483,0.185259,-0.339725,0.030042,0.463235,-1.070702,-0.851748
0.0,0.0,0.370318,0.032911,0.060174,0.000841,0.997645,-0.497794,0.113943,0.090088,0.41387,-0.118476,-0.053229,-0.253104,-0.151008,0.055493,1.0,-0.293547,0.124245,-0.698383,0.125173,-0.579199,-1.417096,0.19368,-0.355167,0.031407,0.484291,-1.11937,-0.890464
0.0,0.0,0.370105,0.034404,0.062904,0.000721,0.997426,-0.497794,0.113943,0.090088,0.41387,-0.118476,-0.053229,-0.272242,-0.169884,0.06243,0.947189,-0.305241,0.139776,-0.728748,0.130616,-0.604382,-1.478709,0.202101,-0.370609,0.032773,0.505348,-1.168038,-0.92918
0.0,0.0,0.369892,0.035897,0.065634,0.000601,0.997198,-0.497794,0.113943,0.090088,0.41387,-0.118476,-0.053229,-0.29138,-0.18876,0.069366,0.894378,-0.316934,0.155307,-0.759112,0.136058,-0.629564,-1.540322,0.210522,-0.386051,0.034138,0.526404,-1.216706,-0.967896
0.0,0.0,0.369679,0.03739,0.068364,0.000481,0.996959,-0.497794,0.113943,0.090088,0.41387,-0.118476,-0.053229,-0.310518,-0.207636,0.076303,0.841567,-0.328628,0.170837,-0.789477,0.1415,-0.654747,-1.601935,0.218943,-0.401493,0.035504,0.54746,-1.265375,-1.006612
0.0,0.0,0.369467,0.038882,0.071092,0.00036,0.996712,-0.497794,0.113943,0.090088,0.41387,-0.118476,-0.053229,-0.329656,-0.226512,0.08324,0.788756,-0.340321,0.186368,-0.819841,0.146943,-0.679929,-1.663548,0.227364,-0.416935,0.036869,0.568516,-1.314043,-1.045327
0.0,0.0,0.369254,0.040374,0.07382,0.00024,0.996454,-0.497794,0.113943,0.090088,0.41387,-0.118476,-0.053229,-0.348794,-0.245388,0.090176,0.735945,-0.352015,0.201899,-0.850206,0.152385,-0.705112,-1.72516,0.235785,-0.432377,0.038235,0.589572,-1.362711,-1.084043
0.0,0.0,0.369041,0.041866,0.076548,0.00012,0.996187,-0.497794,0.113943,0.090088,0.41387,-0.118476,-0.053229,-0.367932,-0.264264,0.097113,0.683134,-0.363708,0.217429,-0.88057,0.157827,-0.730295,-1.786773,0.244205,-0.447819,0.0396,0.610628,-1.411379,-1.122759
