root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,l_hip_pitch,l_hip_roll,l_thigh,l_calf,l_ankle_pitch,l_ankle_roll,r_hip_pitch,r_hip_roll,r_thigh,r_calf,r_ankle_pitch,r_ankle_roll,l_shoulder_pitch,l_shoulder_roll,l_upper_arm,l_elbow,l_wrist,r_shoulder_pitch,r_shoulder_roll,r_upper_arm,r_elbow,r_wrist
-0.776198,0.198424,0.362386,0.017003,0.076451,-0.240048,0.967597,-0.540655,0.076231,0.035611,0.691501,-0.192852,0.011578,-0.407535,0.019153,-0.042787,0.214085,-0.070729,-0.040092,-0.200639,0.192261,-0.094026,-0.365657,-0.09115,-0.076103,-0.335427,0.062704,-0.572978,0.126914
-0.775942,0.19622,0.362113,0.016531,0.081086,-0.234187,0.968663,-0.608632,0.088032,0.028293,0.793125,-0.156317,-0.017311,-0.409821,0.025486,-0.051521,0.20849,-0.080725,-0.05165,-0.19612,0.196638,-0.094124,-0.365987,-0.080111,-0.080781,-0.34112,0.07211,-0.595415,0.124768
-0.775658,0.194457,0.361954,0.01696,0.080266,-0.223113,0.971334,-0.66608,0.087076,0.00789,0.882807,-0.076201,-0.042496,-0.398471,0.024527,-0.064924,0.196125,-0.087836,-0.063022,-0.188071,0.196594,-0.084479,-0.362092,-0.056088,-0.072805,-0.350578,0.073009,-0.611672,0.121557
-0.775335,0.193098,0.362123,0.018946,0.086576,-0.217644,0.971996,-0.724535,0.085183,-0.004374,0.95033,0.004576,-0.066697,-0.401088,0.023718,-0.070902,0.18459,-0.081137,-0.071035,-0.190445,0.19545,-0.07571,-0.363103,-0.052455,-0.080305,-0.359393,0.080041,-0.628829,0.125049
-0.774624,0.191937,0.362095,0.020363,0.083508,-0.209367,0.974052,-0.743783,0.077604,-0.01949,0.983224,0.02846,-0.089606,-0.386917,0.016303,-0.086667,0.175491,-0.085988,-0.060136,-0.17638,0.191197,-0.071864,-0.36769,-0.046907,-0.070017,-0.372866,0.085365,-0.639241,0.120662
-0.775024,0.191217,0.36266,0.022308,0.086788,-0.204204,0.974818,-0.757026,0.08895,-0.013508,0.981655,-0.001636,-0.08938,-0.390236,0.011064,-0.100967,0.172899,-0.083776,-0.059994,-0.181594,0.180834,-0.045051,-0.355445,-0.049805,-0.078545,-0.378258,0.100763,-0.642234,0.120443
-0.775281,0.190414,0.363098,0.021377,0.084848,-0.200493,0.97578,-0.742639,0.110186,-0.00287,0.938367,-0.020781,-0.055497,-0.38187,0.010812,-0.110383,0.170949,-0.08452,-0.064398,-0.1704,0.173026,-0.018463,-0.347832,-0.052536,-0.085813,-0.377879,0.107926,-0.623494,0.129469
-0.775593,0.18964,0.363475,0.019794,0.083266,-0.19958,0.976137,-0.709916,0.137899,0.020376,0.854855,-0.043465,-0.011499,-0.383458,0.012603,-0.114431,0.18434,-0.084463,-0.070144,-0.14956,0.169385,0.005798,-0.344405,-0.042938,-0.089918,-0.378592,0.110062,-0.609473,0.126282
-0.775405,0.189133,0.363669,0.01894,0.079527,-0.198554,0.976674,-0.664002,0.151473,0.034888,0.744304,-0.058758,0.019638,-0.371705,0.011694,-0.118115,0.185017,-0.091119,-0.069213,-0.135701,0.164277,0.013475,-0.331532,-0.053416,-0.093464,-0.376598,0.09531,-0.591618,0.122846
-0.775281,0.188524,0.363401,0.016694,0.076674,-0.193881,0.977882,-0.635136,0.157559,0.035785,0.679392,-0.079241,0.02628,-0.361426,0.018075,-0.109557,0.186491,-0.092536,-0.066422,-0.122143,0.165899,0.000679,-0.319737,-0.052626,-0.090495,-0.374116,0.07903,-0.585611,0.113572
